source_column,encoding,category_count,categories
gender,one_hot,2,"female, male"
partner,one_hot,2,"no, yes"
dependents,one_hot,2,"no, yes"
phone_service,one_hot,2,"no, yes"
multiple_lines,one_hot,3,"no, no_phone_service, yes"
internet_service,one_hot,3,"dsl, fiber_optic, no"
online_security,one_hot,3,"no, no_internet_service, yes"
online_backup,one_hot,3,"no, no_internet_service, yes"
device_protection,one_hot,3,"no, no_internet_service, yes"
tech_support,one_hot,3,"no, no_internet_service, yes"
streaming_tv,one_hot,3,"no, no_internet_service, yes"
streaming_movies,one_hot,3,"no, no_internet_service, yes"
contract,one_hot,3,"month_to_month, one_year, two_year"
paperless_billing,one_hot,2,"no, yes"
payment_method,one_hot,4,"bank_transfer_automatic, credit_card_automatic, electronic_check, mailed_check"
customer_value_segment,one_hot,4,"emerging_value, established_value, high_value, low_value"
tenure_segment,one_hot,5,"0_6_months, 13_24_months, 25_48_months, 49_plus_months, 7_12_months"
primary_activity_country,one_hot,42,"Australia, Austria, Bahrain, Belgium, Bermuda, Brazil, Canada, Channel Islands, Cyprus, Czech Republic, Denmark, Eire, European Community, Finland, France, Germany, Greece, Hong Kong, Iceland, Israel, Italy, Japan, Korea, Lebanon, Lithuania, Malta, Netherlands, Norway, Poland, Portugal"
primary_ticket_type,one_hot,5,"billing_inquiry, cancellation_request, product_inquiry, refund_request, technical_issue"
primary_ticket_priority,one_hot,4,"critical, high, low, medium"
primary_ticket_channel,one_hot,4,"chat, email, phone, social_media"
activity_status,one_hot,4,"active_0_30_days, active_31_90_days, inactive_90_plus_days, no_activity"
