feature,lower_cap_p01,upper_cap_p99,values_capped_low,values_capped_high
monthly_charges,19.2,114.729,65,71
total_charges,19.9,8039.882999999997,69,71
total_charges_imputed,19.75,8039.255999999999,65,71
avg_monthly_spend,17.623475,115.02070422535212,71,71
estimated_customer_lifetime_value,19.75,8038.8,65,70
monthly_charge_to_tenure_ratio,0.28903772378516623,40.20799999999999,71,71
activity_line_count,0.0,1076.58,0,71
invoice_count,0.0,55.0,0,70
total_quantity,-979.0799999999999,14290.499999999987,71,71
net_activity_revenue,-448.7488,25488.032,71,71
gross_activity_revenue,0.0,26272.507999999998,0,71
return_amount,0.0,3636.2729999999992,0,71
avg_invoice_value,-196.44899999999998,2238.6048,71,71
avg_unit_price,0.0,227.67439999999712,0,68
distinct_product_count,0.0,611.5799999999999,0,71
support_ticket_count,0.0,4.0,0,67
avg_resolution_hours,-16.991333333333337,17.926333333333336,71,71
max_resolution_hours,-16.912333333333336,18.509666666666664,71,71
support_to_tenure_ratio,0.0,1.5,0,28
complaints_per_tenure_month,0.0,1.0,0,59
monthly_spend_per_invoice,0.682296568627451,105.75247101449276,71,71
