unified_customer_id,telco_customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,churn_label,total_charges_missing_flag,customer_source_system,identity_resolution_method,identity_confidence_score,total_charges_imputed,avg_monthly_spend,estimated_customer_lifetime_value,monthly_charge_to_tenure_ratio,is_month_to_month_contract,is_electronic_check,no_tech_support_flag,no_online_security_flag,payment_risk_score,customer_value_segment,tenure_segment,activity_line_count,invoice_count,first_activity_date,last_activity_date,active_day_count,total_quantity,net_activity_revenue,avg_unit_price,distinct_product_count,return_line_count,countries_count,primary_activity_country,anonymous_activity_line_count,avg_activity_mapping_confidence,gross_activity_revenue,return_amount,avg_invoice_value,return_rate,purchase_frequency_per_active_day,activity_span_days,inactivity_days,activity_recency_score,activity_frequency_score,activity_monetary_score,recency_frequency_metrics,engagement_score,support_ticket_count,open_ticket_count,closed_ticket_count,critical_ticket_count,high_priority_ticket_count,low_satisfaction_ticket_count,complaint_ticket_count,refund_or_cancel_ticket_count,unresolved_ticket_count,avg_satisfaction_rating,min_satisfaction_rating,avg_resolution_hours,max_resolution_hours,latest_support_time,primary_ticket_type,primary_ticket_priority,primary_ticket_channel,avg_support_mapping_confidence,open_ticket_rate,critical_ticket_rate,low_satisfaction_rate,complaint_frequency,support_burden_score,has_activity_flag,has_support_flag,no_activity_flag,support_to_tenure_ratio,complaints_per_tenure_month,monthly_spend_per_invoice,customer_health_score,activity_status
CUST0000001,0002-ORFBO,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one_year,yes,mailed_check,65.6,593.3,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,593.3,65.92222222222222,590.4,6.56,0,0,0,1,0.2,emerging_value,7_12_months,48.0,18.0,2009-12-14 08:34:00,2011-01-18 10:17:00,11.0,-230.0,-51.74000000000524,11.822916666666666,31.0,14.0,1.0,United Kingdom,1.0,0.6906249999999999,77556.46,77608.20000000001,-2.8744444444447357,0.2916666666666667,1.6363636363636365,400.0,325.0,0.559620596205962,0.03333333333333333,0.0,0.3491,0.2635,3.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,2023-06-01 11:07:14,billing_inquiry,critical,chat,0.5833333333333334,1.0,0.3333333333333333,0.0,0.6666666666666666,0.4331,1,1,0,0.3,0.2,3.662345679012345,0.4259,inactive_90_plus_days
CUST0000002,0003-MKNFE,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month_to_month,no,mailed_check,59.9,542.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,542.4,60.266666666666666,539.1,5.99,1,0,1,1,0.35,emerging_value,7_12_months,340.0,10.0,2010-05-25 14:05:00,2011-12-07 15:52:00,10.0,3255.0,6162.4,3.7984705882352943,238.0,0.0,2.0,Iceland,118.0,0.5438235294117646,6162.4,0.0,616.24,0.0,1.0,561.0,1.0,0.9986449864498645,0.01764705882352941,0.010804013832097132,0.6062,0.4577,3.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,2023-06-01 13:27:10,refund_request,medium,chat,0.5833333333333334,1.0,0.0,0.0,1.0,0.3664,1,1,0,0.3,0.3,6.026666666666666,0.4902,active_0_30_days
CUST0000003,0004-TLHLJ,male,0,no,no,4,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,electronic_check,73.9,280.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0,280.85,70.2125,295.6,14.780000000000001,1,1,1,1,1.0,low_value,0_6_months,52.0,6.0,2010-09-27 14:59:00,2011-09-25 13:13:00,6.0,2814.0,2019.3999999999999,3.713461538461538,26.0,0.0,2.0,Finland,1.0,0.6913461538461537,2019.3999999999999,0.0,336.56666666666666,0.0,1.0,362.0,74.0,0.8997289972899729,0.00980392156862745,0.0035404429333598837,0.5438,0.409,3.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,4.0,4.0,-2.333333333333333,-2.333333333333333,2023-06-01 19:04:30,product_inquiry,high,chat,0.5833333333333334,0.6666666666666666,0.0,0.0,0.6666666666666666,0.2948,1,1,0,0.6,0.4,11.702083333333334,0.3482,active_31_90_days
CUST0000004,0011-IGKFF,male,1,yes,no,13,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,98.0,1237.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0,1237.85,95.21923076923076,1274.0,7.0,1,1,1,1,1.0,emerging_value,13_24_months,182.0,7.0,2009-12-04 12:49:00,2011-11-21 09:51:00,7.0,1438.0,4404.54,8.266978021978021,141.0,6.0,2.0,Italy,2.0,0.695054945054945,4428.6900000000005,24.15,629.22,0.03296703296703297,1.0,716.0,18.0,0.975609756097561,0.011764705882352941,0.007722106822670567,0.5901,0.4447,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2023-06-01 02:25:09,cancellation_request,high,chat,0.45,1.0,0.0,0.0,1.0,0.2498,1,1,0,0.07142857142857142,0.07142857142857142,13.602747252747251,0.3925,active_0_30_days
CUST0000005,0013-EXCHZ,female,1,yes,no,3,yes,no,fiber_optic,no,no,no,yes,yes,no,month_to_month,yes,mailed_check,83.9,267.4,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0,267.4,89.13333333333333,251.70000000000002,20.975,1,0,0,1,0.55,low_value,0_6_months,18.0,2.0,2010-03-11 10:22:00,2011-02-02 16:01:00,2.0,184.0,334.40000000000003,3.6277777777777778,18.0,1.0,2.0,Norway,1.0,0.6749999999999999,334.40000000000003,0.0,167.20000000000002,0.05555555555555555,1.0,328.0,309.0,0.5813008130081301,0.00196078431372549,0.0005862751891232769,0.3496,0.2624,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,6.116666666666666,6.116666666666666,2023-06-01 10:05:35,cancellation_request,critical,social_media,0.65,0.0,1.0,0.0,1.0,0.2628,1,1,0,0.25,0.25,44.56666666666666,0.3855,inactive_90_plus_days
CUST0000006,0013-MHZWF,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month_to_month,yes,credit_card_automatic,69.4,571.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,571.45,63.49444444444445,624.6,6.94,1,0,0,1,0.55,emerging_value,7_12_months,140.0,2.0,2010-11-29 15:23:00,2010-12-21 12:18:00,2.0,429.0,1422.31,6.872857142857143,139.0,0.0,2.0,United Kingdom,119.0,0.31749999999999995,1422.31,0.0,711.1550000000001,0.0,1.0,21.0,353.0,0.521680216802168,0.00196078431372549,0.0024936156227330377,0.3138,0.2359,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.166666666666667,7.166666666666667,2023-06-01 04:56:38,billing_inquiry,medium,phone,0.45,0.0,0.0,1.0,1.0,0.2151,1,1,0,0.1,0.1,31.747222222222224,0.3993,inactive_90_plus_days
CUST0000007,0013-SMEOE,female,1,yes,no,71,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,109.7,7904.25,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,7904.25,111.3274647887324,7788.7,1.5236111111111112,0,0,0,0,0.2,high_value,49_plus_months,113.0,13.0,2010-11-12 10:20:00,2011-11-03 14:37:00,9.0,658.0,1889.21,20.050442477876103,70.0,10.0,1.0,Norway,0.0,0.7,2849.84,960.63,145.32384615384615,0.08849557522123894,1.4444444444444444,356.0,35.0,0.9525745257452575,0.023529411764705882,0.0033121918362547425,0.581,0.4376,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2023-06-01 04:46:26,product_inquiry,medium,chat,0.65,1.0,0.0,0.0,0.0,0.2498,1,1,0,0.013888888888888888,0.0,8.5636511375948,0.6705,active_31_90_days
CUST0000008,0014-BMAQU,male,0,yes,no,63,yes,yes,fiber_optic,yes,no,no,yes,no,no,two_year,yes,credit_card_automatic,84.65,5377.8,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,5377.8,85.36190476190477,5332.950000000001,1.32265625,0,0,0,0,0.2,high_value,49_plus_months,24.0,2.0,2010-10-27 12:44:00,2011-05-19 17:47:00,2.0,212.0,406.76,2.6283333333333334,23.0,0.0,1.0,Bahrain,0.0,0.6999999999999998,406.76,0.0,203.38,0.0,1.0,204.0,203.0,0.7249322493224932,0.00196078431372549,0.0007131378466739954,0.4357,0.327,5.0,4.0,1.0,1.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,5.35,5.35,2023-06-01 19:14:22,refund_request,high,email,0.53,0.8,0.2,0.0,0.8,0.4945,1,1,0,0.078125,0.0625,42.680952380952384,0.5484,inactive_90_plus_days
CUST0000009,0015-UOCOJ,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,48.2,340.35,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,340.35,48.621428571428574,337.40000000000003,6.025,1,1,1,0,1.0,low_value,7_12_months,58.0,1.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1.0,530.0,1079.4,4.5037931034482765,58.0,0.0,1.0,Spain,0.0,0.7,1079.4,0.0,1079.4,0.0,1.0,0.0,231.0,0.6869918699186992,0.0,0.0018924205715899075,0.4122,0.3095,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,-9.65,-9.65,2023-06-01 18:35:06,cancellation_request,critical,phone,0.65,0.0,1.0,0.0,1.0,0.2291,1,1,0,0.125,0.125,48.621428571428574,0.3311,inactive_90_plus_days
CUST0000010,0016-QLJIS,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,mailed_check,90.45,5957.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,5957.9,91.66,5879.25,1.3704545454545456,0,0,0,0,0.2,high_value,49_plus_months,377.0,4.0,2010-01-11 09:31:00,2011-10-19 11:41:00,4.0,1408.0,5446.23,7.3542970822281175,362.0,0.0,2.0,United Kingdom,342.0,0.2917771883289125,5446.23,0.0,1361.5575,0.0,1.0,646.0,51.0,0.9308943089430894,0.0058823529411764705,0.009548413646109042,0.5609,0.4229,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.5,1.0,4.041666666666667,6.133333333333334,2023-06-01 18:54:51,billing_inquiry,critical,phone,0.65,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4751,1,1,0,0.045454545454545456,0.030303030303030304,22.915,0.5958,active_31_90_days
CUST0000011,0017-DINOC,male,0,no,no,54,no,no_phone_service,dsl,yes,no,no,yes,yes,no,two_year,no,credit_card_automatic,45.2,2460.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,2460.55,45.56574074074074,2440.8,0.8218181818181819,0,0,0,0,0.0,established_value,49_plus_months,142.0,6.0,2010-10-11 09:42:00,2011-11-17 08:40:00,6.0,3416.0,6371.7300000000005,3.157042253521127,104.0,0.0,1.0,Portugal,0.0,0.7,6371.7300000000005,0.0,1061.9550000000002,0.0,1.0,401.0,22.0,0.9701897018970189,0.00980392156862745,0.011171014386341079,0.586,0.4423,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,,cancellation_request,high,chat,0.55,1.0,0.0,0.0,1.0,0.3081,1,1,0,0.03636363636363636,0.03636363636363636,7.5942901234567906,0.6624,active_0_30_days
CUST0000012,0017-IUDMW,female,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_automatic,116.8,8456.75,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,8456.75,117.45486111111111,8409.6,1.5999999999999999,0,0,0,0,0.2,high_value,49_plus_months,296.0,3.0,2010-11-16 10:05:00,2011-11-06 16:07:00,2.0,6587.0,18287.66,6.196993243243243,261.0,0.0,1.0,Switzerland,0.0,0.7,18287.66,0.0,6095.886666666666,0.0,1.5,355.0,32.0,0.9566395663956639,0.00392156862745098,0.032062204919623756,0.5756,0.4383,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,,billing_inquiry,high,phone,0.65,1.0,0.0,0.0,1.0,0.2498,1,1,0,0.0136986301369863,0.0136986301369863,39.151620370370374,0.6729,active_31_90_days
CUST0000013,0018-NYROU,female,0,yes,no,5,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,68.95,351.5,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,351.5,70.3,344.75,11.491666666666667,1,1,1,1,1.0,low_value,0_6_months,78.0,6.0,2009-12-08 07:59:00,2011-12-08 10:26:00,6.0,1037.0,3887.07,5.299230769230769,57.0,1.0,2.0,Austria,1.0,0.6942307692307692,3887.07,0.0,647.845,0.01282051282051282,1.0,730.0,1.0,0.9986449864498645,0.00980392156862745,0.006814870512516196,0.6031,0.4542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,11.716666666666667,0.4421,active_0_30_days
