unified_customer_id,telco_customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,is_churned,total_charges_missing_flag,customer_source_system,identity_resolution_method,identity_confidence_score
CUST0000001,0002-ORFBO,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one_year,yes,mailed_check,65.6,593.3,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000002,0003-MKNFE,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month_to_month,no,mailed_check,59.9,542.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000003,0004-TLHLJ,male,0,no,no,4,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,electronic_check,73.9,280.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000004,0011-IGKFF,male,1,yes,no,13,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,98.0,1237.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000005,0013-EXCHZ,female,1,yes,no,3,yes,no,fiber_optic,no,no,no,yes,yes,no,month_to_month,yes,mailed_check,83.9,267.4,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000006,0013-MHZWF,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month_to_month,yes,credit_card_automatic,69.4,571.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000007,0013-SMEOE,female,1,yes,no,71,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,109.7,7904.25,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000008,0014-BMAQU,male,0,yes,no,63,yes,yes,fiber_optic,yes,no,no,yes,no,no,two_year,yes,credit_card_automatic,84.65,5377.8,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000009,0015-UOCOJ,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,48.2,340.35,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000010,0016-QLJIS,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,mailed_check,90.45,5957.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000011,0017-DINOC,male,0,no,no,54,no,no_phone_service,dsl,yes,no,no,yes,yes,no,two_year,no,credit_card_automatic,45.2,2460.55,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
CUST0000012,0017-IUDMW,female,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_automatic,116.8,8456.75,no,0,0,telco_customer_churn,native_telco_customer_id,1.0
