unified_customer_id,contract,tenure,monthly_charges,activity_status,ticket_count,open_ticket_count,avg_satisfaction_rating,churn_risk_score,risk_segment
CUST0005238,month_to_month,2,100.2,inactive_90_plus_days,2.0,1.0,5.0,100,high_risk
CUST0005750,month_to_month,9,94.05,inactive_90_plus_days,2.0,1.0,3.0,100,high_risk
CUST0003803,month_to_month,12,89.55,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0002981,month_to_month,1,89.35,inactive_90_plus_days,2.0,1.0,2.0,95,high_risk
CUST0005368,month_to_month,1,89.25,inactive_90_plus_days,2.0,1.0,4.0,95,high_risk
CUST0003425,month_to_month,5,89.15,inactive_90_plus_days,2.0,1.0,5.0,95,high_risk
CUST0001510,month_to_month,9,85.5,inactive_90_plus_days,4.0,4.0,0.0,95,high_risk
CUST0000905,month_to_month,12,84.6,inactive_90_plus_days,2.0,0.0,2.0,95,high_risk
CUST0003468,month_to_month,1,84.6,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0002438,month_to_month,2,84.05,inactive_90_plus_days,3.0,1.0,3.0,95,high_risk
CUST0006174,month_to_month,5,84.0,inactive_90_plus_days,2.0,1.0,5.0,95,high_risk
CUST0001358,month_to_month,1,81.05,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0004825,month_to_month,5,80.85,inactive_90_plus_days,2.0,1.0,3.0,95,high_risk
CUST0000387,month_to_month,9,80.55,inactive_90_plus_days,3.0,3.0,0.0,95,high_risk
CUST0002965,month_to_month,2,79.95,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0002391,month_to_month,2,79.55,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0006032,month_to_month,3,77.4,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0001149,month_to_month,12,76.6,inactive_90_plus_days,2.0,1.0,5.0,95,high_risk
CUST0006058,month_to_month,8,75.6,no_activity,2.0,2.0,0.0,95,high_risk
CUST0002112,month_to_month,8,74.85,inactive_90_plus_days,3.0,2.0,1.0,95,high_risk
CUST0001995,month_to_month,2,74.2,inactive_90_plus_days,2.0,1.0,3.0,95,high_risk
CUST0005886,month_to_month,9,70.5,inactive_90_plus_days,2.0,2.0,0.0,95,high_risk
CUST0001551,month_to_month,1,70.1,inactive_90_plus_days,3.0,3.0,0.0,95,high_risk
CUST0000967,month_to_month,11,69.35,inactive_90_plus_days,2.0,0.0,2.5,95,high_risk
CUST0005796,month_to_month,7,66.85,inactive_90_plus_days,3.0,2.0,2.0,95,high_risk
CUST0005964,month_to_month,4,65.6,inactive_90_plus_days,3.0,1.0,2.5,95,high_risk
CUST0004974,month_to_month,4,55.9,inactive_90_plus_days,2.0,1.0,4.0,95,high_risk
