unified_customer_id,contract,tenure,monthly_charges,total_charges,estimated_clv_indicator,invoice_count,ticket_count,churn_risk_score,risk_segment
CUST0005361,two_year,72,118.75,8672.45,8550.0,44.0,1.0,5,low_risk
CUST0006994,two_year,72,118.2,8547.15,8510.4,1.0,3.0,50,medium_risk
CUST0002687,two_year,72,117.6,8308.9,8467.199999999999,10.0,2.0,40,medium_risk
CUST0006856,two_year,72,117.5,8670.1,8460.0,1.0,0.0,20,low_risk
CUST0004904,two_year,72,117.35,8436.25,8449.199999999999,1.0,2.0,40,medium_risk
CUST0004721,two_year,72,117.15,8529.5,8434.800000000001,2.0,1.0,30,low_risk
CUST0006346,two_year,71,118.65,8477.6,8424.15,2.0,1.0,25,low_risk
CUST0006893,two_year,72,116.95,8594.4,8420.4,1.0,2.0,40,medium_risk
CUST0001030,two_year,72,116.85,8477.7,8413.199999999999,6.0,5.0,25,low_risk
CUST0000012,two_year,72,116.8,8456.75,8409.6,3.0,1.0,15,low_risk
CUST0006092,two_year,72,116.75,8277.05,8406.0,0.0,2.0,40,medium_risk
CUST0002282,two_year,72,116.6,8337.45,8395.199999999999,4.0,2.0,40,medium_risk
CUST0002786,two_year,72,116.45,8013.55,8384.4,3.0,1.0,30,low_risk
CUST0000463,two_year,72,116.4,8543.25,8380.800000000001,6.0,1.0,5,low_risk
CUST0001025,two_year,72,116.05,8404.9,8355.6,2.0,0.0,20,low_risk
CUST0004267,two_year,72,115.8,8476.5,8337.6,10.0,2.0,25,low_risk
CUST0004185,two_year,72,115.8,8424.9,8337.6,1.0,1.0,30,low_risk
CUST0006023,two_year,72,115.8,8332.15,8337.6,1.0,0.0,20,low_risk
CUST0003880,two_year,72,115.75,8443.7,8334.0,19.0,2.0,25,low_risk
CUST0006072,two_year,72,115.75,8399.15,8334.0,1.0,1.0,30,low_risk
CUST0000932,two_year,72,115.6,8220.4,8323.199999999999,7.0,3.0,25,low_risk
CUST0005880,two_year,72,115.55,8425.3,8319.6,34.0,2.0,35,medium_risk
CUST0001438,two_year,72,115.55,8312.4,8319.6,5.0,2.0,40,medium_risk
CUST0005688,two_year,72,115.5,8425.15,8316.0,2.0,1.0,25,low_risk
CUST0006549,two_year,72,115.5,8312.75,8316.0,1.0,1.0,30,low_risk
CUST0001640,two_year,72,115.15,8349.7,8290.800000000001,24.0,1.0,25,low_risk
CUST0000619,two_year,72,115.15,8349.45,8290.800000000001,2.0,0.0,20,low_risk
CUST0005994,two_year,72,115.05,8405.0,8283.6,0.0,0.0,20,low_risk
CUST0004918,two_year,72,114.95,8196.4,8276.4,2.0,0.0,20,low_risk
CUST0000096,two_year,72,114.9,8496.7,8272.800000000001,1.0,3.0,50,medium_risk
CUST0001646,two_year,72,114.85,8317.95,8269.199999999999,8.0,1.0,15,low_risk
