unified_customer_id,contract,tenure,monthly_charges,activity_status,days_since_last_activity,invoice_count,net_activity_revenue,churn_risk_score
CUST0006092,two_year,72,116.75,no_activity,,0.0,0.0,40
CUST0006276,two_year,71,116.25,no_activity,,0.0,0.0,30
CUST0006826,two_year,34,116.15,no_activity,,0.0,0.0,20
CUST0005994,two_year,72,115.05,no_activity,,0.0,0.0,20
CUST0006122,two_year,72,113.4,no_activity,,0.0,0.0,20
CUST0006041,one_year,67,112.35,no_activity,,0.0,0.0,30
CUST0006257,two_year,72,111.6,no_activity,,0.0,0.0,40
CUST0006063,two_year,59,111.1,no_activity,,0.0,0.0,40
CUST0006244,two_year,72,110.65,no_activity,,0.0,0.0,50
CUST0006145,two_year,70,110.2,no_activity,,0.0,0.0,30
CUST0006670,two_year,63,109.25,no_activity,,0.0,0.0,30
CUST0006535,month_to_month,52,109.1,no_activity,,0.0,0.0,80
CUST0006013,month_to_month,64,108.95,no_activity,,0.0,0.0,40
CUST0006376,two_year,72,108.2,no_activity,,0.0,0.0,50
CUST0006047,one_year,69,107.2,no_activity,,0.0,0.0,40
CUST0006731,two_year,71,106.75,no_activity,,0.0,0.0,40
CUST0007020,two_year,71,106.7,no_activity,,0.0,0.0,40
CUST0006205,two_year,65,105.85,no_activity,,0.0,0.0,40
CUST0006360,one_year,72,105.75,no_activity,,0.0,0.0,30
CUST0006345,two_year,64,105.25,no_activity,,0.0,0.0,50
CUST0006001,two_year,67,104.6,no_activity,,0.0,0.0,30
CUST0006038,month_to_month,48,104.5,no_activity,,0.0,0.0,70
CUST0006236,month_to_month,46,104.45,no_activity,,0.0,0.0,80
CUST0006325,one_year,41,104.45,no_activity,,0.0,0.0,50
CUST0006919,one_year,66,104.25,no_activity,,0.0,0.0,50
CUST0006990,month_to_month,42,103.8,no_activity,,0.0,0.0,40
CUST0006449,month_to_month,18,103.6,no_activity,,0.0,0.0,50
CUST0006723,month_to_month,9,102.6,no_activity,,0.0,0.0,70
CUST0006411,two_year,64,102.1,no_activity,,0.0,0.0,40
CUST0006293,month_to_month,15,101.75,no_activity,,0.0,0.0,70
CUST0006946,two_year,72,100.9,no_activity,,0.0,0.0,40
CUST0006412,month_to_month,47,100.75,no_activity,,0.0,0.0,40
CUST0006096,month_to_month,46,99.8,no_activity,,0.0,0.0,80
CUST0006217,month_to_month,60,99.8,no_activity,,0.0,0.0,70
CUST0007005,two_year,68,99.55,no_activity,,0.0,0.0,50
CUST0006850,month_to_month,49,99.4,no_activity,,0.0,0.0,70
CUST0007032,month_to_month,64,99.15,no_activity,,0.0,0.0,50
CUST0006617,one_year,70,98.9,no_activity,,0.0,0.0,50
CUST0006740,one_year,71,98.65,no_activity,,0.0,0.0,30
CUST0006878,one_year,53,98.6,no_activity,,0.0,0.0,30
CUST0007002,two_year,60,97.2,no_activity,,0.0,0.0,30
CUST0006983,month_to_month,20,96.8,no_activity,,0.0,0.0,40
CUST0006696,month_to_month,34,96.35,no_activity,,0.0,0.0,50
CUST0006440,one_year,62,96.1,no_activity,,0.0,0.0,60
CUST0006680,month_to_month,45,95.95,no_activity,,0.0,0.0,50
CUST0006982,one_year,26,95.85,no_activity,,0.0,0.0,30
CUST0006296,one_year,69,95.65,no_activity,,0.0,0.0,30
CUST0006300,one_year,46,95.65,no_activity,,0.0,0.0,30
CUST0006991,month_to_month,33,95.3,no_activity,,0.0,0.0,60
CUST0006828,month_to_month,43,94.5,no_activity,,0.0,0.0,80
CUST0006068,one_year,43,94.35,no_activity,,0.0,0.0,50
CUST0007036,one_year,7,94.05,no_activity,,0.0,0.0,70
CUST0007031,one_year,53,94.0,no_activity,,0.0,0.0,40
CUST0006797,one_year,66,92.15,no_activity,,0.0,0.0,30
CUST0006547,two_year,72,91.35,no_activity,,0.0,0.0,40
CUST0006979,month_to_month,32,91.35,no_activity,,0.0,0.0,50
CUST0006747,month_to_month,37,91.15,no_activity,,0.0,0.0,70
CUST0006108,one_year,66,90.55,no_activity,,0.0,0.0,40
CUST0006015,one_year,30,90.4,no_activity,,0.0,0.0,50
CUST0006630,one_year,51,90.15,no_activity,,0.0,0.0,60
CUST0006992,month_to_month,23,90.15,no_activity,,0.0,0.0,50
CUST0005967,one_year,63,90.05,no_activity,,0.0,0.0,20
CUST0006187,month_to_month,28,89.9,no_activity,,0.0,0.0,50
CUST0006657,month_to_month,35,89.65,no_activity,,0.0,0.0,55
CUST0006575,month_to_month,67,89.55,no_activity,,0.0,0.0,65
CUST0006136,two_year,68,88.0,no_activity,,0.0,0.0,25
CUST0006146,one_year,69,87.3,no_activity,,0.0,0.0,25
CUST0006638,two_year,71,86.1,no_activity,,0.0,0.0,35
CUST0006839,one_year,56,85.85,no_activity,,0.0,0.0,35
CUST0006504,two_year,72,85.25,no_activity,,0.0,0.0,35
CUST0006651,two_year,72,85.1,no_activity,,0.0,0.0,15
CUST0006896,two_year,64,85.0,no_activity,,0.0,0.0,25
CUST0006495,month_to_month,18,84.95,no_activity,,0.0,0.0,65
CUST0006816,one_year,53,84.6,no_activity,,0.0,0.0,45
CUST0005952,two_year,62,84.5,no_activity,,0.0,0.0,15
CUST0006118,two_year,72,84.4,no_activity,,0.0,0.0,35
CUST0006988,two_year,72,84.1,no_activity,,0.0,0.0,25
CUST0006223,month_to_month,12,84.05,no_activity,,0.0,0.0,75
CUST0006243,one_year,48,83.45,no_activity,,0.0,0.0,25
CUST0006648,month_to_month,35,83.15,no_activity,,0.0,0.0,75
CUST0006603,two_year,72,82.65,no_activity,,0.0,0.0,25
CUST0006656,one_year,26,82.0,no_activity,,0.0,0.0,35
CUST0006164,month_to_month,26,81.9,no_activity,,0.0,0.0,45
CUST0006385,month_to_month,2,81.5,no_activity,,0.0,0.0,65
CUST0006815,two_year,72,80.8,no_activity,,0.0,0.0,45
CUST0006663,two_year,71,80.7,no_activity,,0.0,0.0,25
CUST0006662,two_year,70,80.15,no_activity,,0.0,0.0,35
CUST0006827,month_to_month,5,80.1,no_activity,,0.0,0.0,85
CUST0006880,month_to_month,10,79.85,no_activity,,0.0,0.0,75
CUST0006942,two_year,59,79.2,no_activity,,0.0,0.0,45
CUST0006401,two_year,72,78.85,no_activity,,0.0,0.0,35
CUST0005996,month_to_month,19,78.7,no_activity,,0.0,0.0,65
CUST0006159,two_year,71,77.55,no_activity,,0.0,0.0,25
CUST0006416,one_year,34,77.2,no_activity,,0.0,0.0,25
CUST0006313,one_year,68,76.75,no_activity,,0.0,0.0,35
CUST0006904,month_to_month,22,75.8,no_activity,,0.0,0.0,55
CUST0006058,month_to_month,8,75.6,no_activity,,0.0,0.0,95
CUST0006381,one_year,26,75.5,no_activity,,0.0,0.0,45
CUST0006704,month_to_month,10,75.3,no_activity,,0.0,0.0,85
CUST0006094,two_year,51,75.2,no_activity,,0.0,0.0,35
