unified_customer_id,telco_customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,is_churned,total_charges_missing_flag,customer_source_system,identity_resolution_method,identity_confidence_score,activity_line_count,invoice_count,first_activity_date,last_activity_date,active_day_count,total_quantity,net_activity_revenue,distinct_product_count,return_line_count,primary_country,activity_mapping_confidence,anonymous_activity_line_count,gross_positive_revenue,return_amount,avg_order_value,return_rate,days_since_last_activity,activity_observation_end_date,ticket_count,open_ticket_count,closed_ticket_count,critical_ticket_count,low_satisfaction_ticket_count,refund_or_cancel_ticket_count,avg_satisfaction_rating,avg_resolution_hours,unresolved_ticket_count,support_mapping_confidence,latest_support_time,primary_ticket_type,primary_ticket_channel,open_ticket_rate,critical_ticket_rate,low_satisfaction_rate,has_activity_flag,has_support_flag,revenue_at_risk,observed_customer_value,tenure_segment,activity_status,support_burden_segment,monthly_revenue_segment,estimated_clv_indicator,clv_segment,churn_risk_score,risk_segment
CUST0000001,0002-ORFBO,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one_year,yes,mailed_check,65.6,593.3,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,48.0,18.0,2009-12-14 08:34:00,2011-01-18 10:17:00,11.0,-230.0,-51.74000000000524,31.0,14.0,United Kingdom,0.6906249999999999,1.0,77556.46,77608.20000000001,-2.8744444444447357,0.2916666666666667,325.0,2011-12-09 12:50:00,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.5833333333333334,2023-06-01 11:07:14,billing_inquiry,chat,1.0,0.3333333333333333,0.0,1,1,0.0,593.3,7_12_months,inactive_90_plus_days,moderate_support,mid_low_revenue,590.4,emerging_clv,55,medium_risk
CUST0000002,0003-MKNFE,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month_to_month,no,mailed_check,59.9,542.4,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,340.0,10.0,2010-05-25 14:05:00,2011-12-07 15:52:00,10.0,3255.0,6162.4,238.0,0.0,Iceland,0.5438235294117646,118.0,6162.4,0.0,616.24,0.0,1.0,2011-12-09 12:50:00,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.5833333333333334,2023-06-01 13:27:10,refund_request,chat,1.0,0.0,0.0,1,1,0.0,542.4,7_12_months,active_last_30_days,moderate_support,mid_low_revenue,539.1,emerging_clv,70,high_risk
CUST0000003,0004-TLHLJ,male,0,no,no,4,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,electronic_check,73.9,280.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0,52.0,6.0,2010-09-27 14:59:00,2011-09-25 13:13:00,6.0,2814.0,2019.3999999999999,26.0,0.0,Finland,0.6913461538461537,1.0,2019.3999999999999,0.0,336.56666666666666,0.0,74.0,2011-12-09 12:50:00,3.0,2.0,1.0,0.0,0.0,1.0,4.0,-2.333333333333333,2.0,0.5833333333333334,2023-06-01 19:04:30,product_inquiry,chat,0.6666666666666666,0.0,0.0,1,1,73.9,280.85,0_6_months,active_31_90_days,moderate_support,mid_high_revenue,295.6,low_clv,80,high_risk
CUST0000004,0011-IGKFF,male,1,yes,no,13,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,98.0,1237.85,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0,182.0,7.0,2009-12-04 12:49:00,2011-11-21 09:51:00,7.0,1438.0,4404.54,141.0,6.0,Italy,0.695054945054945,2.0,4428.6900000000005,24.15,629.22,0.03296703296703297,18.0,2011-12-09 12:50:00,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.45,2023-06-01 02:25:09,cancellation_request,chat,1.0,0.0,0.0,1,1,98.0,1237.85,13_24_months,active_last_30_days,low_support,high_revenue,1274.0,emerging_clv,55,medium_risk
CUST0000005,0013-EXCHZ,female,1,yes,no,3,yes,no,fiber_optic,no,no,no,yes,yes,no,month_to_month,yes,mailed_check,83.9,267.4,yes,1,0,telco_customer_churn,native_telco_customer_id,1.0,18.0,2.0,2010-03-11 10:22:00,2011-02-02 16:01:00,2.0,184.0,334.40000000000003,18.0,1.0,Norway,0.6749999999999999,1.0,334.40000000000003,0.0,167.20000000000002,0.05555555555555555,309.0,2011-12-09 12:50:00,1.0,0.0,1.0,1.0,0.0,1.0,4.0,6.116666666666666,0.0,0.65,2023-06-01 10:05:35,cancellation_request,social_media,0.0,1.0,0.0,1,1,83.9,267.4,0_6_months,inactive_90_plus_days,low_support,mid_high_revenue,251.70000000000002,low_clv,65,high_risk
CUST0000006,0013-MHZWF,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month_to_month,yes,credit_card_automatic,69.4,571.45,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,140.0,2.0,2010-11-29 15:23:00,2010-12-21 12:18:00,2.0,429.0,1422.31,139.0,0.0,United Kingdom,0.31749999999999995,119.0,1422.31,0.0,711.155,0.0,353.0,2011-12-09 12:50:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.166666666666667,0.0,0.45,2023-06-01 04:56:38,billing_inquiry,phone,0.0,0.0,1.0,1,1,0.0,571.45,7_12_months,inactive_90_plus_days,low_support,mid_low_revenue,624.6,emerging_clv,65,high_risk
CUST0000007,0013-SMEOE,female,1,yes,no,71,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,109.7,7904.25,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,113.0,13.0,2010-11-12 10:20:00,2011-11-03 14:37:00,9.0,658.0,1889.21,70.0,10.0,Norway,0.7,0.0,2849.84,960.63,145.32384615384615,0.08849557522123894,35.0,2011-12-09 12:50:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,2023-06-01 04:46:26,product_inquiry,chat,1.0,0.0,0.0,1,1,0.0,7904.25,49_plus_months,active_31_90_days,low_support,high_revenue,7788.7,high_clv,15,low_risk
CUST0000008,0014-BMAQU,male,0,yes,no,63,yes,yes,fiber_optic,yes,no,no,yes,no,no,two_year,yes,credit_card_automatic,84.65,5377.8,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,24.0,2.0,2010-10-27 12:44:00,2011-05-19 17:47:00,2.0,212.0,406.76,23.0,0.0,Bahrain,0.6999999999999998,0.0,406.76,0.0,203.38,0.0,203.0,2011-12-09 12:50:00,5.0,4.0,1.0,1.0,0.0,3.0,3.0,5.35,4.0,0.53,2023-06-01 19:14:22,refund_request,email,0.8,0.2,0.0,1,1,0.0,5377.8,49_plus_months,inactive_90_plus_days,moderate_support,mid_high_revenue,5332.950000000001,high_clv,35,medium_risk
CUST0000009,0015-UOCOJ,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,48.2,340.35,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,58.0,1.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1.0,530.0,1079.4,58.0,0.0,Spain,0.7,0.0,1079.4,0.0,1079.4,0.0,231.0,2011-12-09 12:50:00,1.0,0.0,1.0,1.0,0.0,1.0,4.0,-9.65,0.0,0.65,2023-06-01 18:35:06,cancellation_request,phone,0.0,1.0,0.0,1,1,0.0,340.35,7_12_months,inactive_90_plus_days,low_support,mid_low_revenue,337.40000000000003,low_clv,85,high_risk
CUST0000010,0016-QLJIS,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,mailed_check,90.45,5957.9,no,0,0,telco_customer_churn,native_telco_customer_id,1.0,377.0,4.0,2010-01-11 09:31:00,2011-10-19 11:41:00,4.0,1408.0,5446.23,362.0,0.0,United Kingdom,0.2917771883289125,342.0,5446.23,0.0,1361.5575,0.0,51.0,2011-12-09 12:50:00,3.0,1.0,2.0,2.0,2.0,0.0,1.5,4.041666666666667,1.0,0.65,2023-06-01 18:54:51,billing_inquiry,phone,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,1,0.0,5957.9,49_plus_months,active_31_90_days,moderate_support,high_revenue,5879.25,high_clv,25,low_risk
